sep=,
Wisdom,Randomization,role,object_class,Medical,MaxHitPoints,Marksmanship,Affiliation,id,Portrait,Leadership,CustomEquipGear,Health,Tier,VoiceResponseId,Dexterity,gender,pollyvoice,Mechanical,StartingLevel,neutral_retaliate,Agility,MaxAttacks,Explosives,unitPowerModifier,group,Strength,elite,Comment,eliteCategory,PickCustomArchetype,archetype,AlwaysUseOpeningAttack,BigPortrait,OpeningAttackType,PinnedDownChance,immortal,FallbackMissingVR,CanManEmplacements,body_type,species,RewardExperience,militia,PersistentSessionId,RepositionArchetype,dummy,reincarnate,SalaryMaxLv,HireStatus,Specialization,IsMercenary,SalaryLv1,infected,SalaryIncrease,StartingSalary,Nationality,MedicalDeposit,DurationDiscount,Haggling,LegacyNotes,ImportantNPC,RetreatBehavior,villain,DefeatBehavior,Lives,HealPersistentOnSpawn
25,true,Soldier,UnitData,0,50,52,Other,PrisonerJoseph,UI/EnemiesPortraits/LegionRaider,0,,99,,ThugGunner,43,Male,Joey,0,,true,74,2,0,,Civilians,97,,tough criminal,,,,,UI/Enemies/LegionRaider,,,,,,,,,,NPC_Joseph,,,,,,,,,,,,,,,,,,,,,,
30,true,Soldier,UnitData,0,50,69,Other,PrisonerRioter,UI/EnemiesPortraits/ThugDemo,15,,76,,ThugGunner,65,Male,Joey,0,,true,89,2,0,,Civilians,88,,tough criminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,true,Medic,UnitData,96,,31,Civilian,SanatoriumNPC_Doctor,UI/MercsPortraits/unknown,43,,51,,,73,Male,Matthew,0,,,45,2,0,,Civilians,45,,,,,Medic,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
39,true,,UnitData,11,,51,Civilian,SanatoriumNPC_Guard,UI/EnemiesPortraits/ArmySniper,0,,81,,,54,Male,Matthew,0,,true,79,2,0,,Civilians,55,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
45,true,Medic,UnitData,52,,16,Civilian,SanatoriumNPC_Nurse,UI/MercsPortraits/unknown,26,,43,,,62,Female,Amy,0,,,56,2,0,,Civilians,39,,,,,Medic,,,,,,VillagerFemale,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
39,true,,UnitData,13,,16,Civilian,SanatoriumNPC_PatientFemale,UI/MercsPortraits/unknown,26,,43,,,36,Female,Salli,0,,,45,2,0,,Civilians,33,,,,,ActiveCivilian,,,,,,VillagerFemale,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
39,true,,UnitData,13,,16,Civilian,SanatoriumNPC_PatientMale,UI/MercsPortraits/unknown,26,,43,,,36,Male,Matthew,0,,,45,2,0,,Civilians,33,,,,,ActiveCivilian,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
20,,,UnitData,0,50,15,Civilian,VillagerFemale,UI/MercsPortraits/unknown,0,,15,,,20,Female,Kimberly,0,,,50,1,0,,Civilians,20,,,,,,,,,,,VillagerFemale,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
20,,,UnitData,0,50,15,Civilian,VillagerFemale_2,UI/MercsPortraits/unknown,0,,15,,,20,Female,Emma,0,,,50,1,0,,Civilians,20,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
20,,,UnitData,0,50,15,Civilian,VillagerMale,UI/MercsPortraits/unknown,0,,15,,,20,Male,Matthew,0,,,50,1,0,,Civilians,20,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
20,,,UnitData,0,50,15,Civilian,VillagerMale_2,UI/MercsPortraits/unknown,0,,15,,,20,Male,Russell,0,,,50,1,0,,Civilians,20,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
20,,,UnitData,0,50,15,Civilian,VillagerMale_3,UI/MercsPortraits/unknown,0,,15,,,20,Male,,0,,,50,1,0,,Civilians,20,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
20,,,UnitData,0,50,15,Civilian,WorkingGirl,UI/MercsPortraits/unknown,0,,15,,,20,Female,Kimberly,0,,,50,1,0,,Civilians,20,,,,,,,,,,,VillagerFemale,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
20,,,UnitData,0,50,15,Civilian,WorkingGuy,UI/MercsPortraits/unknown,0,,15,,,20,Male,Matthew,0,,,50,1,0,,Civilians,20,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
12,,,UnitData,0,50,13,Legion,AnimTestDummy_Crouched,,10,,10,,LegionRaider,21,Male,Joey,0,2,true,30,,0,,Dummy,23,,,,,AnimTestDummy_Crouched,,,,,,,,,,,,,AnimTestDummy_Crouched,,,,,,,,,,,,,,,,,,,,,
12,,,UnitData,0,50,13,Legion,AnimTestDummy_Prone,,10,,10,,LegionRaider,21,Male,Joey,0,2,true,30,,0,,Dummy,23,,,,,AnimTestDummy_Prone,,,,,,,,,,,,,AnimTestDummy_Prone,,,,,,,,,,,,,,,,,,,,,
12,,,UnitData,0,50,13,Legion,AnimTestDummy_Standing,,10,,10,,LegionRaider,21,Male,Joey,0,2,true,30,,0,,Dummy,23,,,,,AnimTestDummy_Standing,,,,,,,,,,,,,AnimTestDummy_Standing,,,,,,,,,,,,,,,,,,,,,
100,,,UnitData,100,,100,,Dummy,UI/MercsPortraits/unknown,100,,100,,,100,Male,,100,,,100,,100,,Dummy,100,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,
100,,,UnitData,100,,100,,Dummy_ArmoredHeavy,UI/MercsPortraits/unknown,100,,100,,,100,Male,,100,,,100,,100,,Dummy,100,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,
100,,,UnitData,100,,100,,Dummy_ArmoredLight,UI/MercsPortraits/unknown,100,,100,,,100,Male,,100,,,100,,100,,Dummy,100,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,
100,,,UnitData,100,,100,,Dummy_ArmoredMedium,UI/MercsPortraits/unknown,100,,100,,,100,Male,,100,,,100,,100,,Dummy,100,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,
30,,,UnitData,0,80,30,Other,IMP_Merc1,Mod/o4bTTgc/Images/h_m1.png,30,,30,,IMP_male_01,30,Male,Geraint,0,,,30,,0,,IMP,30,,,,,,,Mod/o4bTTgc/Images/m1.png,,,,,,,,,,,,,,0,NotMet,AllRounder,true,0,,,,,,,,,,,,,,
30,,,UnitData,0,80,30,Other,IMP_Merc2,Mod/o4bTTgc/Images/h_m2.png,30,,30,,IMP_male_01,30,Male,Geraint,0,,,30,,0,,IMP,30,,,,,,,Mod/o4bTTgc/Images/m2.png,,,,,,,,,,,,,,0,NotMet,AllRounder,true,0,,,,,,,,,,,,,,
30,,,UnitData,0,80,30,Other,IMP_Spec1,Mod/o4bTTgc/Images/h_s1.png,30,,30,,IMP_male_01,30,Male,Geraint,0,,,30,,0,,IMP,30,,,,,,,Mod/o4bTTgc/Images/s1.png,,,,,,,,,,,,,,0,NotMet,AllRounder,true,0,,,,,,,,,,,,,,
30,,,UnitData,0,80,30,Other,IMP_Spec2,Mod/o4bTTgc/Images/h_s2.png,30,,30,,IMP_male_01,30,Male,Geraint,0,,,30,,0,,IMP,30,,,,,,,Mod/o4bTTgc/Images/s2.png,,,,,,,,,,,,,,0,NotMet,AllRounder,true,0,,,,,,,,,,,,,,
30,,,UnitData,0,80,30,Other,IMP_female_01,UI/MercsPortraits/IMP_Trooper,30,,30,,IMP_female_01,30,Female,Joanna,0,,,30,,0,,IMP,30,,,,,,,UI/Mercs/IMP_Trooper,,,,,,,,,,,,,,0,NotMet,AllRounder,true,0,,,,,,,,,,,,,,
30,,,UnitData,0,80,30,Other,IMP_female_02,UI/MercsPortraits/IMP_Troublemaker,30,,30,,IMP_female_01,30,Female,Joanna,0,,,30,,0,,IMP,30,,,,,,,UI/Mercs/IMP_Troublemaker,,,,,,,,,,,,,,0,NotMet,AllRounder,true,0,,,,,,,,,,,,,,
30,,,UnitData,0,80,30,Other,IMP_female_03,UI/MercsPortraits/IMP_Security,30,,30,,IMP_female_01,30,Female,Joanna,0,,,30,,0,,IMP,30,,,,,,,UI/Mercs/IMP_Security,,,,,,,,,,,,,,0,NotMet,AllRounder,true,0,,,,,,,,,,,,,,
30,,,UnitData,0,80,30,Other,IMP_male_01,UI/MercsPortraits/IMP_FIxer,30,,30,,IMP_male_01,30,Male,Geraint,0,,,30,,0,,IMP,30,,,,,,,UI/Mercs/IMP_Fixer,,,,,,,,,,,,,,0,NotMet,AllRounder,true,0,,,,,,,,,,,,,,
30,,,UnitData,0,80,30,Other,IMP_male_02,UI/MercsPortraits/IMP_Gunner,30,,30,,IMP_male_01,30,Male,Geraint,0,,,30,,0,,IMP,30,,,,,,,UI/Mercs/IMP_Gunner,,,,,,,,,,,,,,0,NotMet,AllRounder,true,0,,,,,,,,,,,,,,
30,,,UnitData,0,80,30,Other,IMP_male_03,UI/MercsPortraits/IMP_Pilot,30,,30,,IMP_male_01,30,Male,Geraint,0,,,30,,0,,IMP,30,,,,,,,UI/Mercs/IMP_Pilot,,,,,,,,,,,,,,0,NotMet,AllRounder,true,0,,,,,,,,,,,,,,
0,true,Stormer,UnitData,0,,0,Beast,Bella,,0,,100,,,30,Female,Joanna,0,,true,,2,0,,Infected,80,,,,,Brute,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
0,true,Stormer,UnitData,0,,0,Beast,BellaLover,,0,,80,,,10,Male,,0,,true,,2,0,,Infected,80,,,,,Brute,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
2,true,Stormer,UnitData,0,60,0,Beast,BioLabNPC_Infected,UI/EnemiesPortraits/InfectedMale01,98,,90,,,61,Male,,0,,true,95,2,0,,Infected,97,,,,,Brute,,UI/Enemies/LegionRaider,,100,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
2,true,Stormer,UnitData,0,60,0,Beast,SanatoriumNPC_Infected,UI/EnemiesPortraits/InfectedMale01,98,,90,,,61,Male,,0,,true,95,2,0,,Infected,97,,,,,Brute,,UI/Enemies/LegionRaider,,100,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
2,true,Stormer,UnitData,0,60,0,Civilian,SanatoriumNPC_InfectedFemale,UI/EnemiesPortraits/InfectedFemale01,98,,90,,,61,Female,Raveena,0,,,95,2,0,,Infected,97,,,,,Brute,,UI/Enemies/LegionRaider,,100,,VillagerFemale,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
2,true,Stormer,UnitData,0,60,0,Civilian,SanatoriumNPC_InfectedMale,UI/EnemiesPortraits/InfectedMale01,98,,90,,,61,Male,,0,,,95,2,0,,Infected,97,,,,,Brute,,UI/Enemies/LegionRaider,,100,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
19,true,Stormer,UnitData,0,60,15,Legion,LegionButcher,UI/EnemiesPortraits/LegionStormer,9,,50,,LegionRaider,74,Male,,0,2,true,85,2,11,,Legion,47,,melee striker,,,Brute,,UI/Enemies/LegionRaider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,true,Stormer,UnitData,0,60,15,Legion,LegionButcher_Stronger,UI/EnemiesPortraits/LegionStormer,9,,50,,LegionRaider,86,Male,,0,5,true,90,2,11,,Legion,47,,"+AP, +ACC",,,Brute,,UI/Enemies/LegionRaider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,true,Stormer,UnitData,0,60,15,Legion,LegionButcher_Stronger_Elite,UI/EnemiesPortraits/LegionStormer,9,,71,,LegionRaider,86,Male,,0,8,true,96,2,11,,Legion,90,true,"+HP, +AP, +DMG, capstone: blood scent",Legion,,Brute,,UI/Enemies/LegionRaider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,true,Stormer,UnitData,0,60,15,Legion,LegionButcher_copy,UI/EnemiesPortraits/LegionStormer,9,,50,,LegionRaider,74,Male,,0,2,true,85,2,11,,Legion,47,,,,function: 0000029967E419E0,,,UI/Enemies/LegionRaider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
